//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 61834000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
61834000;1;01/07/1943;;1;1;95,221;77,872;84,6425;1;29;1;1;1;;;95,221;95,221;95,221;93,457;91,698;89,942;89,942;88,191;86,445;86,445;86,445;84,703;89,942;84,703;82,993;82,993;81,273;81,273;81,273;81,273;81,273;81,273;81,273;79,566;79,566;79,566;79,566;79,566;77,872;77,872;77,872;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/08/1943;;1;1;76,191;63,229;69,5478;1;22;1;1;1;;;76,191;76,191;76,191;74,524;72,87;74,524;74,524;74,524;74,524;72,87;72,87;72,87;72,87;71,229;69,602;69,602;67,988;67,988;66,388;66,388;66,388;63,229;64,801;64,801;64,801;64,801;64,801;64,801;64,801;64,801;63,229;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/09/1943;;1;1;107,686;58,595;67,7485;28;6;1;1;1;;;63,229;63,229;61,67;61,67;60,125;58,595;58,595;58,595;58,595;58,595;58,595;60,125;61,67;64,801;66,388;67,988;66,388;66,388;66,388;60,125;58,595;58,595;58,595;60,125;69,602;88,191;104,105;107,686;98,762;86,445;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/10/1943;;1;1;277,184;67,988;112,621;30;3;1;1;1;;;76,191;69,602;67,988;71,229;81,273;84,703;81,273;81,273;81,273;84,703;93,457;88,191;93,457;96,99;109,483;131,332;159,32;146,172;116,708;96,99;84,703;81,273;81,273;95,221;104,105;104,105;102,32;155,549;248,955;277,184;244,955;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/11/1943;;1;1;307,852;109,483;169,1964;6;30;1;1;1;;;186,04;149,913;131,332;178,351;261,005;307,852;293,488;244,955;191,834;157,433;144,305;149,913;153,667;146,172;131,332;123,992;116,708;120,343;236,98;261,005;215,234;172,613;131,332;120,343;127,655;136,872;135,022;125,822;114,896;109,483;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/12/1943;;1;1;328,523;125,822;195,0125;5;13;1;1;1;;;135,022;178,351;281,249;324,375;328,523;271,102;207,395;178,351;157,433;157,433;144,305;138,726;125,822;127,655;133,175;142,442;155,549;189,9;168,801;153,667;151,789;142,442;148,041;166,899;203,49;227,062;215,234;229,041;277,184;293,488;291,443;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/01/1944;;1;1;277,184;122,165;181,2971;28;23;1;1;1;;;248,955;227,062;221,137;199,594;189,9;176,435;178,351;180,269;178,351;165;161,211;157,433;149,913;144,305;144,305;149,913;148,041;146,172;153,667;151,789;135,022;127,655;122,165;125,822;163,104;231,023;269,079;277,184;256,98;231,023;209,351;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/02/1944;;1;1;322,303;127,655;200,9637;23;14;1;1;1;;;168,801;155,549;144,305;149,913;155,549;157,433;153,667;148,041;144,305;148,041;157,433;146,172;135,022;127,655;135,022;146,172;176,435;205,441;211,309;227,062;248,955;307,852;322,303;314,035;320,234;309,911;277,184;258,991;275,155;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
61834000;1;01/03/1944;;1;1;394,836;186,04;289,1624;6;30;1;1;1;;;279,216;277,184;297,583;341,009;385,371;394,836;390,097;376,705;347,274;307,852;285,321;256,98;233,006;236,98;269,079;303,739;320,234;328,523;361,95;366,158;361,95;316,099;263,02;236,98;231,023;219,167;203,49;203,49;195,709;186,04;187,968;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/04/1944;;1;1;229,041;135,022;173,9934;22;30;1;1;1;;;176,435;180,269;180,269;184,113;186,04;170,705;159,32;151,789;153,667;148,041;148,041;146,172;146,172;146,172;157,433;184,113;187,968;219,167;225,085;221,137;223,11;229,041;211,309;193,77;168,801;157,433;148,041;142,442;138,726;135,022;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
